,din_instante,val_geracao,Estacao
477,2019-04-23,403.4975,Outono
478,2019-04-24,469.808,Outono
479,2019-04-25,441.91150000000005,Outono
480,2019-04-26,445.346,Outono
481,2019-04-27,422.9135,Outono
482,2019-04-28,370.0695,Outono
483,2019-04-29,382.64349999999996,Outono
484,2019-04-30,482.8065,Outono
485,2019-05-01,428.788,Outono
486,2019-05-02,374.7695,Outono
487,2019-05-03,414.82,Outono
488,2019-05-04,355.5875,Outono
489,2019-05-05,511.447,Outono
490,2019-05-06,504.15999999999997,Outono
491,2019-05-07,361.168,Outono
492,2019-05-08,523.381,Outono
493,2019-05-09,512.4845,Outono
494,2019-05-10,432.7565,Outono
495,2019-05-11,447.72450000000003,Outono
496,2019-05-12,462.6925,Outono
497,2019-05-13,492.5165,Outono
498,2019-05-14,522.7584999999999,Outono
499,2019-05-15,373.0825,Outono
500,2019-05-16,616.564,Outono
501,2019-05-17,611.842,Outono
502,2019-05-18,604.726,Outono
503,2019-05-19,482.2505,Outono
504,2019-05-20,543.5375,Outono
505,2019-05-21,519.3905,Outono
506,2019-05-22,507.773,Outono
507,2019-05-23,434.168,Outono
508,2019-05-24,476.64050000000003,Outono
509,2019-05-25,519.113,Outono
510,2019-05-26,539.243,Outono
511,2019-05-27,523.4780000000001,Outono
512,2019-05-28,491.87,Outono
513,2019-05-29,489.03599999999994,Outono
514,2019-05-30,477.27299999999997,Outono
515,2019-05-31,431.676,Outono
516,2019-06-01,477.0305,Outono
517,2019-06-02,416.69,Outono
518,2019-06-03,420.7355,Outono
519,2019-06-04,424.781,Outono
520,2019-06-05,598.074,Outono
521,2019-06-06,582.7265,Outono
522,2019-06-07,532.583,Outono
523,2019-06-08,471.7285,Outono
524,2019-06-09,540.158,Outono
525,2019-06-10,524.469,Outono
526,2019-06-11,478.563,Outono
527,2019-06-12,492.694,Outono
528,2019-06-13,494.8175,Outono
529,2019-06-14,530.6105,Outono
530,2019-06-15,559.7805000000001,Outono
531,2019-06-16,544.8745,Outono
532,2019-06-17,498.2745,Outono
533,2019-06-18,537.018,Outono
534,2019-06-19,505.2235,Outono
535,2019-06-20,523.9365,Outono
536,2019-06-21,532.5609999999999,Inverno
537,2019-06-22,532.906,Inverno
538,2019-06-23,550.458,Inverno
539,2019-06-24,558.615,Inverno
540,2019-06-25,509.865,Inverno
541,2019-06-26,422.4549999999999,Inverno
542,2019-06-27,477.1065,Inverno
543,2019-06-28,531.758,Inverno
544,2019-06-29,581.7465,Inverno
545,2019-06-30,584.629,Inverno
546,2019-07-01,551.891,Inverno
547,2019-07-02,496.5005,Inverno
548,2019-07-03,455.751,Inverno
549,2019-07-04,534.4728333333333,Inverno
550,2019-07-05,613.1946666666666,Inverno
551,2019-07-06,691.9164999999999,Inverno
552,2019-07-07,683.2565,Inverno
553,2019-07-08,665.6645,Inverno
554,2019-07-09,636.9945,Inverno
555,2019-07-10,629.24,Inverno
556,2019-07-11,622.8835,Inverno
557,2019-07-12,615.1905,Inverno
558,2019-07-13,525.706,Inverno
559,2019-07-14,553.7365,Inverno
560,2019-07-15,490.5335,Inverno
561,2019-07-16,408.05800000000005,Inverno
562,2019-07-17,478.741,Inverno
563,2019-07-18,488.88149999999996,Inverno
564,2019-07-19,457.13849999999996,Inverno
565,2019-07-20,553.6175000000001,Inverno
566,2019-07-21,528.5595,Inverno
567,2019-07-22,414.18499999999995,Inverno
568,2019-07-23,601.892,Inverno
569,2019-07-24,595.2085,Inverno
570,2019-07-25,448.53650000000005,Inverno
571,2019-07-26,503.7665,Inverno
572,2019-07-27,569.2515000000001,Inverno
573,2019-07-28,604.6265,Inverno
574,2019-07-29,537.4355,Inverno
575,2019-07-30,509.931,Inverno
576,2019-07-31,660.7385,Inverno
577,2019-08-01,637.966,Inverno
578,2019-08-02,571.41625,Inverno
579,2019-08-03,504.8665,Inverno
580,2019-08-04,438.31675,Inverno
581,2019-08-05,371.767,Inverno
582,2019-08-06,428.57050000000004,Inverno
583,2019-08-07,485.374,Inverno
584,2019-08-08,506.849,Inverno
585,2019-08-09,514.769,Inverno
586,2019-08-10,488.172,Inverno
587,2019-08-11,491.978,Inverno
588,2019-08-12,465.895,Inverno
589,2019-08-13,411.539,Inverno
590,2019-08-14,470.758,Inverno
591,2019-08-15,455.469,Inverno
592,2019-08-16,503.281,Inverno
593,2019-08-17,500.938,Inverno
594,2019-08-18,489.539,Inverno
595,2019-08-19,478.14,Inverno
596,2019-08-20,466.741,Inverno
597,2019-08-21,455.342,Inverno
598,2019-08-22,523.265,Inverno
599,2019-08-23,459.488,Inverno
600,2019-08-24,540.644,Inverno
601,2019-08-25,528.946,Inverno
602,2019-08-26,487.633,Inverno
603,2019-08-27,383.43399999999997,Inverno
604,2019-08-28,367.553,Inverno
605,2019-08-29,479.015,Inverno
606,2019-08-30,463.03000000000003,Inverno
607,2019-08-31,467.945,Inverno
608,2019-09-01,459.706,Inverno
609,2019-09-02,451.467,Inverno
610,2019-09-03,411.562,Inverno
611,2019-09-04,477.114,Inverno
612,2019-09-05,471.274,Inverno
613,2019-09-06,490.096,Inverno
614,2019-09-07,527.015,Inverno
615,2019-09-08,523.282,Inverno
616,2019-09-09,522.227,Inverno
617,2019-09-10,465.478,Inverno
618,2019-09-11,463.389,Inverno
619,2019-09-12,458.052,Inverno
620,2019-09-13,486.48,Inverno
621,2019-09-14,486.233,Inverno
622,2019-09-15,413.385,Inverno
623,2019-09-16,520.886,Inverno
624,2019-09-17,526.005,Inverno
625,2019-09-18,381.974,Inverno
626,2019-09-19,388.254,Inverno
627,2019-09-20,428.60400000000004,Inverno
628,2019-09-21,468.954,Primavera
629,2019-09-22,452.001,Primavera
630,2019-09-23,538.02,Primavera
631,2019-09-24,410.936,Primavera
632,2019-09-25,456.73466666666667,Primavera
633,2019-09-26,502.5333333333333,Primavera
634,2019-09-27,548.332,Primavera
635,2019-09-28,557.083,Primavera
636,2019-09-29,467.527,Primavera
637,2019-09-30,550.061,Primavera
638,2019-10-01,549.686,Primavera
639,2019-10-02,506.944,Primavera
640,2019-10-03,394.866,Primavera
641,2019-10-04,541.892,Primavera
642,2019-10-05,560.437,Primavera
643,2019-10-06,356.976,Primavera
644,2019-10-07,459.128,Primavera
645,2019-10-08,488.18949999999995,Primavera
646,2019-10-09,517.251,Primavera
647,2019-10-10,545.808,Primavera
648,2019-10-11,560.256,Primavera
649,2019-10-12,529.086,Primavera
650,2019-10-13,447.139,Primavera
651,2019-10-14,531.595,Primavera
652,2019-10-15,483.59,Primavera
653,2019-10-16,551.386,Primavera
654,2019-10-17,501.704,Primavera
655,2019-10-18,448.158,Primavera
656,2019-10-19,467.00600000000003,Primavera
657,2019-10-20,402.56,Primavera
658,2019-10-21,431.627,Primavera
659,2019-10-22,460.694,Primavera
660,2019-10-23,489.761,Primavera
661,2019-10-24,583.556,Primavera
662,2019-10-25,550.572,Primavera
663,2019-10-26,544.908,Primavera
664,2019-10-27,565.978,Primavera
665,2019-10-28,442.78,Primavera
666,2019-10-29,569.563,Primavera
667,2019-10-30,618.29,Primavera
668,2019-10-31,588.167,Primavera
669,2019-11-01,575.726,Primavera
670,2019-11-02,575.264,Primavera
671,2019-11-03,458.56,Primavera
672,2019-11-04,554.778,Primavera
673,2019-11-05,442.378,Primavera
674,2019-11-06,372.47,Primavera
675,2019-11-07,478.121,Primavera
676,2019-11-08,480.3215,Primavera
677,2019-11-09,482.522,Primavera
678,2019-11-10,484.72249999999997,Primavera
679,2019-11-11,486.923,Primavera
680,2019-11-12,535.764,Primavera
681,2019-11-13,460.344,Primavera
682,2019-11-14,390.76,Primavera
683,2019-11-15,518.4445000000001,Primavera
684,2019-11-16,646.129,Primavera
685,2019-11-17,627.302,Primavera
686,2019-11-18,604.566,Primavera
687,2019-11-19,565.738,Primavera
688,2019-11-20,566.917,Primavera
689,2019-11-21,453.40700000000004,Primavera
690,2019-11-22,600.254,Primavera
691,2019-11-23,525.1080000000001,Primavera
692,2019-11-24,574.6705,Primavera
693,2019-11-25,624.233,Primavera
694,2019-11-26,438.035,Primavera
695,2019-11-27,405.4635,Primavera
696,2019-11-28,372.892,Primavera
697,2019-11-29,564.8439999999999,Primavera
698,2019-11-30,415.466,Primavera
699,2019-12-01,505.677,Primavera
700,2019-12-02,611.972,Primavera
701,2019-12-03,627.951,Primavera
